Location,Year,% of missing data outcome indicators (%)
Afghanistan,2008,80
Afghanistan,2009,60
Afghanistan,2010,60
Afghanistan,2011,60
Albania,2008,60
Albania,2009,80
Albania,2010,80
Albania,2011,80
Benin,2008,20
Benin,2009,60
Benin,2010,20
Benin,2011,0
Bhutan,2008,0
Bhutan,2009,0
Bhutan,2010,0
Bhutan,2011,0
Burkina Faso,2008,20
Burkina Faso,2009,0
Burkina Faso,2010,0
Burkina Faso,2011,20
Burundi,2008,20
Burundi,2009,0
Burundi,2010,0
Burundi,2011,0
Cambodia,2008,0
Cambodia,2009,40
Cambodia,2010,0
Cambodia,2011,0
Cameroon,2008,0
Cameroon,2009,0
Cameroon,2010,20
Cameroon,2011,0
Central African Republic,2008,20
Central African Republic,2009,0
Central African Republic,2010,40
Central African Republic,2011,20
Chad,2008,60
Chad,2009,20
Chad,2010,0
Chad,2011,0
Comoros,2008,20
Comoros,2009,100
Comoros,2010,100
Comoros,2011,60
Congo DRC,2008,20
Congo DRC,2009,20
Congo DRC,2010,20
Congo DRC,2011,20
C么te d'Ivoire,2008,20
C么te d'Ivoire,2009,0
C么te d'Ivoire,2010,100
C么te d'Ivoire,2011,0
Djibouti,2008,0
Djibouti,2009,20
Djibouti,2010,100
Djibouti,2011,0
Eritrea,2008,0
Eritrea,2009,0
Eritrea,2010,0
Eritrea,2011,20
Ethiopia,2008,80
Ethiopia,2009,80
Ethiopia,2010,80
Ethiopia,2011,100
"Gambia, The",2008,20
"Gambia, The",2009,20
"Gambia, The",2010,0
"Gambia, The",2011,20
Georgia,2008,0
Georgia,2009,20
Georgia,2010,20
Georgia,2011,60
Ghana,2008,0
Ghana,2009,0
Ghana,2010,100
Ghana,2011,20
Guinea,2008,20
Guinea,2009,0
Guinea,2010,0
Guinea,2011,20
Guinea-Bissau,2008,80
Guinea-Bissau,2009,80
Guinea-Bissau,2010,0
Guinea-Bissau,2011,100
Guyana,2008,20
Guyana,2009,0
Guyana,2010,0
Guyana,2011,20
Haiti,2008,100
Haiti,2009,100
Haiti,2010,100
Haiti,2011,100
Honduras,2008,20
Honduras,2009,20
Honduras,2010,20
Honduras,2011,20
Kenya,2008,60
Kenya,2009,60
Kenya,2010,100
Kenya,2011,100
Kyrgyz Republic,2008,0
Kyrgyz Republic,2009,0
Kyrgyz Republic,2010,0
Kyrgyz Republic,2011,0
Lao PDR,2008,0
Lao PDR,2009,0
Lao PDR,2010,0
Lao PDR,2011,0
Lesotho,2008,20
Lesotho,2009,20
Lesotho,2010,0
Lesotho,2011,40
Liberia,2008,20
Liberia,2009,20
Liberia,2010,100
Liberia,2011,20
Madagascar,2008,0
Madagascar,2009,0
Madagascar,2010,0
Madagascar,2011,20
Malawi,2008,20
Malawi,2009,20
Malawi,2010,20
Malawi,2011,20
Mali,2008,0
Mali,2009,0
Mali,2010,0
Mali,2011,0
Mauritania,2008,60
Mauritania,2009,20
Mauritania,2010,40
Mauritania,2011,40
Moldova,2008,0
Moldova,2009,0
Moldova,2010,0
Moldova,2011,0
Mongolia,2008,20
Mongolia,2009,20
Mongolia,2010,0
Mongolia,2011,0
Mozambique,2008,20
Mozambique,2009,20
Mozambique,2010,20
Mozambique,2011,20
Nepal,2008,0
Nepal,2009,40
Nepal,2010,20
Nepal,2011,20
Nicaragua,2008,0
Nicaragua,2009,100
Nicaragua,2010,0
Nicaragua,2011,100
Niger,2008,0
Niger,2009,0
Niger,2010,0
Niger,2011,0
Nigeria,2008,20
Nigeria,2009,20
Nigeria,2010,20
Nigeria,2011,100
Pakistan,2008,0
Pakistan,2009,0
Pakistan,2010,20
Pakistan,2011,20
Papua New Guinea,2008,40
Papua New Guinea,2009,80
Papua New Guinea,2010,80
Papua New Guinea,2011,80
Rwanda,2008,20
Rwanda,2009,20
Rwanda,2010,20
Rwanda,2011,40
Sao Tome and Principe,2008,0
Sao Tome and Principe,2009,40
Sao Tome and Principe,2010,0
Sao Tome and Principe,2011,0
Senegal,2008,0
Senegal,2009,0
Senegal,2010,0
Senegal,2011,0
Sierra Leone,2008,100
Sierra Leone,2009,100
Sierra Leone,2010,100
Sierra Leone,2011,0
Somalia,2008,100
Somalia,2009,100
Somalia,2010,100
Somalia,2011,100
South Sudan,2008,100
South Sudan,2009,100
South Sudan,2010,100
South Sudan,2011,0
Sudan,2008,60
Sudan,2009,60
Sudan,2010,0
Sudan,2011,60
Tajikistan,2008,0
Tajikistan,2009,0
Tajikistan,2010,0
Tajikistan,2011,0
Tanzania,2008,40
Tanzania,2009,0
Tanzania,2010,20
Tanzania,2011,100
Timor-Leste,2008,20
Timor-Leste,2009,20
Timor-Leste,2010,20
Timor-Leste,2011,20
Togo,2008,0
Togo,2009,20
Togo,2010,0
Togo,2011,0
Uganda,2008,0
Uganda,2009,20
Uganda,2010,0
Uganda,2011,20
Uzbekistan,2008,0
Uzbekistan,2009,0
Uzbekistan,2010,0
Uzbekistan,2011,0
Vietnam,2008,60
Vietnam,2009,60
Vietnam,2010,60
Vietnam,2011,0
Yemen,2008,20
Yemen,2009,100
Yemen,2010,0
Yemen,2011,60
Zambia,2008,20
Zambia,2009,20
Zambia,2010,20
Zambia,2011,40
Zimbabwe,2008,100
Zimbabwe,2009,100
Zimbabwe,2010,100
Zimbabwe,2011,100
Average ,2008,27.1186440678
Average ,2009,32.2033898305
Average ,2010,30.8474576271
Average ,2011,31.5254237288
