Location,Year,"Pupil Teacher Ratio, Primary Education"
Afghanistan,2008,43.72982
Afghanistan,2009,42.83639
Afghanistan,2010,44.41709
Afghanistan,2011,43.51915
Afghanistan,2012,
Albania,2008,19.4078
Albania,2009,20.17793
Albania,2010,19.70208
Albania,2011,19.86917
Albania,2012,19.48298
Benin,2008,44.55301
Benin,2009,44.86809
Benin,2010,46.3918
Benin,2011,44.20067
Benin,2012,44.14979
Bhutan,2008,29.87891
Bhutan,2009,27.70221
Bhutan,2010,25.89606
Bhutan,2011,25.37845
Bhutan,2012,23.9859
Burkina Faso,2008,48.92155
Burkina Faso,2009,48.90026
Burkina Faso,2010,52.39988
Burkina Faso,2011,52.68641
Burkina Faso,2012,48.23903
Burundi,2008,
Burundi,2009,51.36121
Burundi,2010,50.6021
Burundi,2011,48.31143
Burundi,2012,47.10468
Cambodia,2008,48.53713
Cambodia,2009,49.07538
Cambodia,2010,48.44957
Cambodia,2011,47.29163
Cambodia,2012,45.72134
Cameroon,2008,46.03527
Cameroon,2009,46.31569
Cameroon,2010,45.79474
Cameroon,2011,45.43773
Cameroon,2012,45.56349
Central African Republic,2008,100.23649
Central African Republic,2009,94.61257
Central African Republic,2010,84.32027
Central African Republic,2011,81.31051
Central African Republic,2012,80.11576
Chad,2008,62.40153
Chad,2009,61.01961
Chad,2010,62.20393
Chad,2011,62.59056
Chad,2012,61.26763
Comoros,2008,30.15332
Comoros,2009,
Comoros,2010,
Comoros,2011,27.74673
Comoros,2012,
Congo DRC,2008,39.02034
Congo DRC,2009,37.32547
Congo DRC,2010,37.0131
Congo DRC,2011,37.37094
Congo DRC,2012,34.74758
Côte d'Ivoire,2008,41.8902
Côte d'Ivoire,2009,42.12742
Côte d'Ivoire,2010,
Côte d'Ivoire,2011,48.84621
Côte d'Ivoire,2012,41.71605
Djibouti,2008,34.0344
Djibouti,2009,34.14014
Djibouti,2010,
Djibouti,2011,35.23512
Djibouti,2012,34.93245
Eritrea,2008,42.95363
Eritrea,2009,38.46821
Eritrea,2010,37.95899
Eritrea,2011,40.4643
Eritrea,2012,40.9313
Ethiopia,2008,62.28293
Ethiopia,2009,57.9406
Ethiopia,2010,54.05852
Ethiopia,2011,55.06929
Ethiopia,2012,53.74934
"Gambia, The",2008,34.36475
"Gambia, The",2009,36.6417
"Gambia, The",2010,
"Gambia, The",2011,37.61854
"Gambia, The",2012,33.86525
Georgia,2008,8.68001
Georgia,2009,8.9205
Georgia,2010,8.1578
Georgia,2011,
Georgia,2012,6.25983
Ghana,2008,32.24014
Ghana,2009,33.11177
Ghana,2010,
Ghana,2011,31.04223
Ghana,2012,32.98357
Guinea,2008,44.11118
Guinea,2009,43.68705
Guinea,2010,42.18615
Guinea,2011,44.08141
Guinea,2012,43.55555
Guinea-Bissau,2008,
Guinea-Bissau,2009,
Guinea-Bissau,2010,51.92515
Guinea-Bissau,2011,
Guinea-Bissau,2012,
Guyana,2008,25.56042
Guyana,2009,25.56063
Guyana,2010,24.61945
Guyana,2011,24.59172
Guyana,2012,
Haiti,2008,
Haiti,2009,
Haiti,2010,
Haiti,2011,
Haiti,2012,
Honduras,2008,33.34365
Honduras,2009,33.87645
Honduras,2010,
Honduras,2011,
Honduras,2012,
Kenya,2008,46.53791
Kenya,2009,46.78019
Kenya,2010,
Kenya,2011,
Kenya,2012,
Kyrgyz Republic,2008,24.19711
Kyrgyz Republic,2009,24.03166
Kyrgyz Republic,2010,24.28436
Kyrgyz Republic,2011,24.91639
Kyrgyz Republic,2012,23.89988
Lao PDR,2008,30.49379
Lao PDR,2009,29.15319
Lao PDR,2010,28.83207
Lao PDR,2011,26.80852
Lao PDR,2012,27.12631
Lesotho,2008,35.04477
Lesotho,2009,33.75728
Lesotho,2010,33.77485
Lesotho,2011,33.87564
Lesotho,2012,34.07946
Liberia,2008,24.26131
Liberia,2009,27.36148
Liberia,2010,
Liberia,2011,26.83431
Liberia,2012,
Madagascar,2008,47.15533
Madagascar,2009,47.90319
Madagascar,2010,40.14191
Madagascar,2011,43.24486
Madagascar,2012,43.06725
Malawi,2008,78.40557
Malawi,2009,80.67995
Malawi,2010,79.27172
Malawi,2011,76.07357
Malawi,2012,74.08589
Mali,2008,51.43719
Mali,2009,50.14558
Mali,2010,50.39826
Mali,2011,48.47335
Mali,2012,
Mauritania,2008,37.22792
Mauritania,2009,39.0677
Mauritania,2010,37.15186
Mauritania,2011,39.29443
Mauritania,2012,40.12932
Moldova,2008,15.86201
Moldova,2009,15.74791
Moldova,2010,15.41452
Moldova,2011,15.3188
Moldova,2012,15.7877
Mongolia,2008,31.14934
Mongolia,2009,30.36106
Mongolia,2010,30.23907
Mongolia,2011,29.32321
Mongolia,2012,28.77793
Mozambique,2008,63.99922
Mozambique,2009,61.28936
Mozambique,2010,58.48961
Mozambique,2011,55.41963
Mozambique,2012,54.84224
Nepal,2008,37.81655
Nepal,2009,33.30905
Nepal,2010,31.91867
Nepal,2011,29.61413
Nepal,2012,27.5331
Nicaragua,2008,29.19228
Nicaragua,2009,
Nicaragua,2010,30.21638
Nicaragua,2011,
Nicaragua,2012,
Niger,2008,40.71853
Niger,2009,38.83216
Niger,2010,38.61445
Niger,2011,39.00208
Niger,2012,38.75524
Nigeria,2008,
Nigeria,2009,
Nigeria,2010,36.02612
Nigeria,2011,
Nigeria,2012,
Pakistan,2008,40.66857
Pakistan,2009,39.68783
Pakistan,2010,40.45158
Pakistan,2011,39.83264
Pakistan,2012,41.35274
Papua New Guinea,2008,
Papua New Guinea,2009,
Papua New Guinea,2010,
Papua New Guinea,2011,
Papua New Guinea,2012,
Rwanda,2008,67.73053
Rwanda,2009,68.29941
Rwanda,2010,64.61867
Rwanda,2011,58.09439
Rwanda,2012,59.27851
Sao Tome and Principe,2008,
Sao Tome and Principe,2009,26.17273
Sao Tome and Principe,2010,26.20046
Sao Tome and Principe,2011,29.79713
Sao Tome and Principe,2012,28.65004
Senegal,2008,36.43514
Senegal,2009,34.65629
Senegal,2010,33.65179
Senegal,2011,32.93963
Senegal,2012,31.68179
Sierra Leone,2008,
Sierra Leone,2009,
Sierra Leone,2010,
Sierra Leone,2011,31.33123
Sierra Leone,2012,32.99373
Somalia,2008,
Somalia,2009,
Somalia,2010,
Somalia,2011,
Somalia,2012,
South Sudan,2008,
South Sudan,2009,
South Sudan,2010,
South Sudan,2011,
South Sudan,2012,
Sudan,2008,45
Sudan,2009,44
Sudan,2010,43
Sudan,2011,43
Sudan,2012,
Tajikistan,2008,22.67432
Tajikistan,2009,23.24594
Tajikistan,2010,25.18145
Tajikistan,2011,23.27456
Tajikistan,2012,23.00472
Tanzania,2008,52.3892
Tanzania,2009,53.70457
Tanzania,2010,50.76274
Tanzania,2011,
Tanzania,2012,45.56776
Timor-Leste,2008,42.44422
Timor-Leste,2009,29.77684
Timor-Leste,2010,30.19877
Timor-Leste,2011,31.35481
Timor-Leste,2012,
Togo,2008,41.32555
Togo,2009,43.50925
Togo,2010,40.57306
Togo,2011,40.94767
Togo,2012,41.67781
Uganda,2008,49.92589
Uganda,2009,49.28122
Uganda,2010,48.576
Uganda,2011,47.77601
Uganda,2012,
Uzbekistan,2008,17.60546
Uzbekistan,2009,17.11574
Uzbekistan,2010,17.76213
Uzbekistan,2011,15.6244
Uzbekistan,2012,
Vietnam,2008,19.92674
Vietnam,2009,19.5222
Vietnam,2010,19.90175
Vietnam,2011,19.63155
Vietnam,2012,19.39912
Yemen,2008,
Yemen,2009,
Yemen,2010,30.81078
Yemen,2011,30.25279
Yemen,2012,
Zambia,2008,54.17641
Zambia,2009,
Zambia,2010,52.98507
Zambia,2011,55.86195
Zambia,2012,49.22433
Zimbabwe,2008,
Zimbabwe,2009,
Zimbabwe,2010,
Zimbabwe,2011,
Zimbabwe,2012,
Average,2008,40
Average,2009,39.3
Average,2010,38.7
Average,2011,38.2
Average,2012,37.3
